Project Name,Sector,Sub-Sector,Location,Status,Type of PPP,Project Brief,Project Capacity,Nodal Authority,Concession Duration (In Months),Update Date,Project Authority Name,Project Concessionaire Name,Bid Parameter,Concession Agreement Signing Date,Financial Closure Date,Appointed Date,Construction Completion Date(As per agreement),Construction Completion Date(Actual),Date of Start Of Commercial Operation (As per agreement),Date of Start Of Commercial Operation (As actual),Concession End Date(As per agreement),Concession End Date(Actual),Revised Concession End Date,Type of Grant,Grant Amount in Rs Crore,Project Cost(As per agreement) in Rs Crore,Project Cost(Revised) in Rs Crore,Project Cost(Actual) in Rs Crore,Any Other Information
Patan-Tendukheda-Rehli,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT)  (T+ A),The project involves upgradation of Patan-Tendukheda-Rehli road on SH-15 in Sagar district.,86.6 KM (Kilometer),State,180,19-Aug-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),"M/s DBL Patan Rehli Tollways Limited, Bhopal",Annuity,01-Sep-2015,21-Jul-2016,21-Jul-2016,31-Mar-2017,30-Jun-2017,Not Available,30-Jun-2017,20-Jul-2031,Not Applicable,Not Available,,0.00,169.44,219.62,Not Available,This is a VGF In Principle Approved Project.
Road Upgradation (Bilaspur-Katghora-Korba-Champa) Project,Transport,Roads and bridges,Chhattisgarh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved improvement of Bilaspur-Katghora-Korba-Champa road.,151.0 KM (Kilometer),State,180,19-Aug-2019,"Public Works Department, Chhattisgarh",Ramawatar Agrawal Road Construction Private Limited,Concession Duration,02-Mar-2002,Not Available,06-Mar-2002,15-Oct-2009,15-Oct-2009,15-Oct-2009,15-Oct-2009,05-Mar-2017,Not Applicable,Not Available,,0.00,25.10,Not Available,26.53,Not Available
Road Upgradation (Chinchoti-Kaman-Anjurphata-Mankoli Road) Project,Transport,Roads and bridges,Maharashtra,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved four laning of Chinchoti-Kaman-Anjurphata to Mankoli road MSH No. 4 from 0.00 km to 26.42 km in Thane district.,26.4 KM (Kilometer),State,291,19-Aug-2019,"Public Works Department, Maharashtra",BUL Infradevelopers Private Limited,Concession Duration,16-May-2009,10-Jun-2009,28-Aug-2009,28-Aug-2011,07-Jan-2012,28-Aug-2011,20-Jan-2012,27-Nov-2033,Not Applicable,Not Available,,0.00,120.50,Not Available,120.51,Not Available
Road Upgradation (Kadapa-Pulivendula) KP-03 Project,Transport,Roads and bridges,Andhra Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,"The project involved up-gradation of road to two lane standards and up gradation of bridges.  Design, Construction for Improvement and Upgrading to Four-lanes Finance, Operation & Maintenance of Kadapa-Pulivendula Road (KP-03)",18.0 KM (Kilometer),State,138,19-Aug-2019,Andhra Pradesh Road Development Corporation,BVSR KP  Road Projects Pvt. Ltd.,Annuity,05-Aug-2009,Not Available,Not Available,Not Available,14-Aug-2010,Not Available,Not Available,04-Feb-2021,Not Applicable,Not Available,,0.00,81.32,Not Available,81.32,Not Available
Road Upgradation (Makhupura-Gujarat State Border) Project,Transport,Roads and bridges,Rajasthan,Completed,Build-Operate-Transfer (BOT),The project involved strengthening of road from Makhupura (Sanchore) to Gujarat state border via Peer ki Jal MDR,12.0 KM (Kilometer),State,300,19-Aug-2019,"Public Works Department, Rajasthan","D.K. Infra Private Limited, Mumbai",Concession Duration,04-Nov-2011,Not Available,16-Nov-2011,15-May-2012,Not Available,16-May-2012,Not Available,03-Nov-2036,Not Available,Not Available,,0.00,11.61,Not Available,11.61,Not Available
Road Upgradation (Rayalapuram-Gandluru) Project,Transport,Roads and bridges,Andhra Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,"The project involved up-gradation of road to two lane standards and up gradation of bridges.  Design, Construction for Improvement, Upgrading to two-lane carriageway of Rayalapuram - Gandluru Road",1.0 KM (Kilometer),State,288,19-Aug-2019,Andhra Pradesh Road Development Corporation,NSP Variegate PP Road Projects Pvt. Ltd.,Annuity,19-Feb-2009,19-Jun-2009,Not Available,Not Available,15-May-2010,Not Available,Not Available,28-Feb-2033,Not Applicable,Not Available,,0.00,17.70,Not Available,17.70,Not Available
Road Upgradation (Ro-Ro Point-NH-8 E) Project,Transport,Roads and bridges,Gujarat,Operation and Maintenance Stage,Design-Build-Finance-Operate-Transfer (DBFOT) Annuity,The project involved two laning with paved shoulder of Ro-Ro Point to NH-8 E Road in length of 14.7 km in Gujarat under State Highway Development Project.,14.7 KM (Kilometer),State,144,19-Aug-2019,"Public Works Department, Gujarat",Kalthia Infra-con Private Limited,Not Available,30-Jan-2012,Not Available,26-Jul-2012,Not Available,21-Apr-2013,Not Available,21-Apr-2013,25-Jul-2024,Not Applicable,Not Available,,0.00,29.36,Not Available,29.36,Not Available
Road Upgradation (Salumber-Banswara) Project,Transport,Roads and bridges,Rajasthan,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved development of Salumber-Banswara (SH-32) road from 72.00 to 165.00,93.0 KM (Kilometer),State,109,19-Aug-2019,"Public Works Department, Rajasthan","GHV (India) Private Limited, Mumbai",Concession Duration,22-Dec-2011,Not Available,21-Jun-2012,12-Jun-2013,17-May-2013,13-Jun-2013,18-May-2013,20-Jun-2021,Not Applicable,15-Jan-2021,,0.00,62.00,Not Available,68.14,"(Source:- Chief Engineer, Public Works Department, Rajasthan, October 2017)"
Road Upgradation Project (Deharda-Ishagarh ) Project,Transport,Roads and bridges,Madhya Pradesh,Under Construction,Build-Operate-Transfer (BOT)  (T+ A),"The project involves development of Deharda - Ishagarh Road in length of 32.93 km, SH-10 in Guna",32.93 KM (Kilometer),State,180,19-Aug-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),M/s Gangotri Deharda Ishagarh Tollways Pvt. Ltd.,Annuity,19-Apr-2011,19-Oct-2011,19-Oct-2011,18-Oct-2013,Not Applicable,Not Available,Not Applicable,18-Apr-2026,Not Applicable,Not Available,,2.45,50.57,Not Available,Not Applicable,Not Available
Road Upgradation Project (Mhow-Ghatabillod) Project,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved development of Mhow-Ghatabillod Road (four-lane) total length of 27 km,27.0 KM (Kilometer),State,276,19-Aug-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),Essle Mhow Ghatabillod,Minimum grant,07-Sep-2011,02-Mar-2012,02-Mar-2012,06-Sep-2013,31-Dec-2012,06-Sep-2013,31-Dec-2012,01-Mar-2035,Not Applicable,Not Available,,14.58,177.27,Not Available,177.30,Not Available
Road Upgradation Project (Sehore-Ichhawar-Kosmi) Project,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT)  (T+ A),The project involved development of Sehore - Icchawar - Kosmi Road in length of 50.12 km in Sehore,50.12 KM (Kilometer),State,180,19-Aug-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),Sehore Kosmi Tollway Ltd.,Annuity,09-Sep-2011,05-Mar-2012,05-Mar-2012,21-Mar-2013,27-Dec-2013,21-Mar-2013,27-Dec-2013,05-Mar-2027,Not Applicable,Not Available,,4.41,89.00,Not Available,89.00,Not Available
Road Upgradation Project (Sijhata-Hinoti-Malgaon-Khamariya-Ater) Project,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,The project involved upgradation of Sijhata - Hinoti - Malgaon - Khamariya - Ater Road in length of 32.2 km in Damoh.,32.2 KM (Kilometer),State,180,19-Aug-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),"M/s KCC Roads Construction Private Limited, New Delhi",Annuity,23-Mar-2013,20-Jan-2014,31-Jul-2014,19-Jan-2016,19-Apr-2016,19-Jan-2016,19-Apr-2016,30-Jul-2029,Not Applicable,Not Available,,0.00,43.56,Not Available,43.56,Not Available
Road Upgradation Project (Sitamau-Basai-Suwasara) Project,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT)  (T+ A),The project involves two laning of Sitamau-Basai-Suwasara in length of 35 km,34.97 KM (Kilometer),State,180,19-Aug-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),"M/s DBL Sitamau Suwasara Tollways Limited, Bhopal",Annuity,05-Dec-2011,19-Mar-2012,04-May-2012,11-May-2013,28-Mar-2013,11-May-2013,28-Mar-2013,04-May-2027,Not Applicable,Not Available,,3.69,53.05,Not Available,54.26,Not Available
Two laning of Ujjain Unhel Nagda Jawra Road,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved upgradation of Ujjain-Unhel-Nagda-Jaora Road in Ujjain district,95.2 KM (Kilometer),State,240,19-Aug-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),Topworth Tollways (Ujjian) Pvt.,Highest premium,06-May-2010,13-Jan-2011,13-Jan-2011,12-Jan-2013,17-Apr-2013,12-Jan-2013,17-Apr-2013,12-Jan-2031,Not Applicable,Not Available,,1.01,189.29,Not Available,189.05,This is a VGF In Principle Approved Project.
Two laning with granular shoulder from km 0.00 to km 38.00 of Lakhnadon-Ghansore section of SH 40 on DBFOT (Toll) basis,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Design-Build-Finance-Operate-Transfer (DBFOT) Toll,The project involves development of Lakhnadon - Ghasore upto Seoni Border (SH-40) in length of 39 km in Seoni,38.0 KM (Kilometer),State,360,19-Aug-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),TCIL,Minimum grant,22-Sep-2011,16-Mar-2012,16-Mar-2012,15-Mar-2014,29-Jun-2016,Not Available,29-Jun-2016,21-Sep-2041,Not Applicable,Not Available,Construction Grant,0.54,79.14,Not Available,79.00,This is a VGF In Principle Approved Project.
Upgradation of Bhuj-Nakhtrana road in length of 44.8 Km,Transport,Roads and bridges,Gujarat,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved upgradation of Bhuj-Nakhtrana road from 5.2 km to 50.0 km in Gujarat.,45.0 KM (Kilometer),State,159,19-Aug-2019,Gujarat State Road Development Corporation Limited (GSRDC),M.S. Khuarana Engineering,Not Available,23-Nov-2005,Not Available,Not Available,Not Available,28-Feb-2008,Not Available,Not Available,22-Nov-2018,Not Applicable,Not Available,,0.00,35.04,Not Available,35.04,Not Available
Upgradation of Uchera-Nagod-Singhpur-Kalinjer road in length of 55.6 km in Raisen district,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT)  (T+ A),The project involved upgradation of Uchera-Nagod-Singhpur-Kalinjer road in Raisen district.,55.56 KM (Kilometer),State,180,19-Aug-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),M/s DBL Uchera-Nagod Tollways Limited Bhopal,Annuity,24-Sep-2012,05-Apr-2013,05-Apr-2013,20-Nov-2014,15-May-2014,Not Available,15-May-2014,23-Sep-2027,Not Applicable,Not Available,,8.46,112.66,Not Available,115.20,Not Available
Upgradation of Umari-Phoop-Pratappura road in length of 43.39 km in Madhya Pradesh,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT)  (T+ A),The project involved development of Umari-Phoop-Pratapur in length of 43.7 km,43.67 KM (Kilometer),State,180,19-Aug-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),M/s Umari Pooph Pratapur Tollways Private Limited,Annuity,05-Jan-2012,20-Jun-2012,20-Jun-2012,19-Jun-2014,04-Jan-2015,Not Available,04-Jan-2015,21-Dec-2026,Not Applicable,Not Available,,0.00,73.68,Not Available,75.29,Not Available
Viramgam Mehsana Gauge (Railway Track) Conversion Project,Transport,"Railway track, tunnel, viaducts, bridges",Gujarat,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,"The project envisages the conversion of the existing metre gauge track to broad gauge track between Viramgam and Mahesana, a stretch of 90 km.",90.0 KM (Kilometer),Centre,162,19-Aug-2019,Western Railway,"Viramgam Mehsana Project Limited (VMPL) is promoted by a consortium of D S Constructions Ltd. (DSCL), Tantia Constructions Compa",Tariff or User charge,23-May-2003,01-Sep-2003,07-May-2004,Not Available,02-Dec-2004,Not Available,02-Dec-2004,06-Nov-2017,Not Applicable,Not Available,,0.00,102.22,Not Available,Not Available,Not Available
Waste Based Power Unit (Kathonda),Energy,Renewable energy (grid),Madhya Pradesh,Operation and Maintenance Stage,Design-Build-Finance-Operate-Transfer (DBFOT),The project involves construction of power plant based on solid waste at Kathonda in Jabalpur,11.5 MW (Mega Watt),State,240,19-Aug-2019,Jabalpur Municipal Corporation,Essel Jabalpur M.S.W. Project Limited,Not Available,05-Feb-2013,Not Available,Not Available,04-Feb-2014,16-May-2016,Not Available,Not Available,05-Feb-2033,Not Applicable,Not Available,,0.00,177.96,Not Available,Not Available,Data is logically checked and corrected.
Widening of Existing 2 Lane carriageway to 4/6 lane divided carriageway of Bangalore-Hoskate-Mulbagal section of NH-4 on BOT,Transport,Roads and bridges,Karnataka,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),4/6-laning of Bangalore-Hoskote-Mudbagal section (km.237 to km.318) on NH-4 in Karnataka under NHDP Phase III A,79.7 KM (Kilometer),Centre,252,19-Aug-2019,National Highways Authority of India (NHAI),Lanco Hoskote Highway Private Limited,Minimum grant,09-Jul-2007,05-Jan-2008,05-Jan-2008,01-Jul-2010,31-Dec-2013,Not Available,31-Dec-2013,08-Jul-2028,Not Applicable,Not Available,Not Available,189.29,565.00,Not Available,565.00,This is a PPPAC Recommended Project.
4-laning of Muzaffarnagar-Saharanpur Road (SH-59) from Km.0.000 to Km.52.950 on DBFOT toll basis,Transport,Roads and bridges,Uttar Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involves four laning of Muzaffarnagar - Saharanpur road (SH-59) from 0.00 km to 52.95 km in Muzaffarnagar district.,52.9 KM (Kilometer),State,276,20-Aug-2019,Uttar Pradesh State Highways Authority,Deoband Highways Private Limited,Minimum grant,29-May-2015,28-Nov-2015,18-Mar-2016,31-Mar-2018,Not Available,31-Mar-2018,24-Jun-2018,30-Mar-2039,Not Applicable,Not Available,Construction Grant,301.15,752.88,Not Available,Not Available,This is a VGF Final Approved Project.
Four laning with paved shoulder in Bareilly-Almora section of SH 37 in the State of Uttar Pradesh on DBFOT basis,Transport,Roads and bridges,Uttar Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved four laning with paved shoulder of Bareilly-Almora  section of SH-31 in Uttar Pradesh.,54.0 KM (Kilometer),State,300,20-Aug-2019,Uttar Pradesh State Highways Authority,PNC Infratech Limited,Minimum grant,11-Aug-2011,17-Mar-2012,15-Mar-2013,05-Mar-2015,18-Oct-2015,05-Mar-2015,18-Oct-2015,10-Jun-2036,Not Applicable,Not Available,Construction Grant,69.95,355.00,604.55,604.55,This is a VGF Final Approved Project.
Four-laning of Varanasi-Shaktinagar road of SH-5A in UP under DBFOT basis,Transport,Roads and bridges,Uttar Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved four laning of Varanasi-Shaktinagar road upto Hathi Nala section of SH-5A in Uttar Pradesh.,115.0 KM (Kilometer),State,240,20-Aug-2019,Uttar Pradesh State Highways Authority,ACP Tollways Private Limited,Minimum grant,08-Dec-2011,02-Jun-2012,05-Feb-2013,24-Jul-2015,Not Available,31-Oct-2015,31-Oct-2015,07-Dec-2031,Not Applicable,Not Available,Construction Grant,241.92,"1,211.96","1,757.39",Not Available,This is a VGF Final Approved Project.
Multilevel Parking (Shimla) Project,Transport,Urban public transport (except rolling stock),Himachal Pradesh,Operation and Maintenance Stage,Design-Build-Finance-Operate-Transfer (DBFOT),The project involves development of greenfield multilevel parking of 700 ECS (700 cars) in Shimla.,700.0 ECS,State,360,20-Aug-2019,Shimla Municipal Corporation,Shimla Tolls & Projects Private Limited,Annuity,28-Feb-2011,23-Oct-2013,25-Oct-2013,25-Jan-2015,10-Dec-2016,25-Jan-2015,10-Dec-2016,25-Oct-2043,Not Applicable,Not Available,,0.00,46.11,Not Available,Not Available,Not Available
Roadways between  Madhyakailash-Sholinganallur,Transport,Roads and bridges,Tamil Nadu,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved development of 22 Km road between Madhyakailash and Sholinganallur in Tamil Nadu,22.0 KM (Kilometer),State,372,20-Aug-2019,Tamil Nadu Road Development Company Limited,Not Available,Not Available,23-Feb-2005,Not Available,Not Available,22-Feb-2006,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Available,,0.00,130.00,Not Available,412.00,Not Available
Solid Waste Management (Sewapura) Project,Water Sanitation,Solid waste management,Rajasthan,Operation and Maintenance Stage,Design-Build-Own-Operate-Transfer (DBOOT),The project involved implementation of solid waste management plant at village Sewapura.,250.0 TPD (Tonne per day),State,360,20-Aug-2019,Jaipur Municipal Corporation,"IL&FS Environmental infrastructure and services Limited, New Delhi",Highest premium,18-Oct-2007,Not Available,29-Dec-2008,01-Oct-2013,31-Oct-2013,01-Jan-2014,01-Nov-2013,28-Dec-2038,Not Applicable,31-Dec-2038,,0.00,26.34,Not Available,Not Available,Not Available
Dedicated Container Terminal at Pipavav Port,Transport,Ports (excluding captive),Gujarat,Operation and Maintenance Stage,Build-Own-Operate-Transfer (BOOT),Dedicated Container Terminal at Pipavav Port,1000.0 MMTPA (million metric tonnes per annum),State,Not Available,21-Aug-2019,Gujarat Maritime Board (GMB),Gujarat Pipavav Port Limited (GPPL),Not Available,Not Available,Not Available,01-Apr-2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Available,,0.00,"2,000.00",Not Available,Not Available,Not Available
Laying of ropeway at Jakhu in Shimla district,Social and Commercial Infrastructure,Tourism,Himachal Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved development of Jakhu ropeway 410 meter with 12 No. of Cabins situated near Shivalik hotel at Jakhu in Shimla district.,600.0 Passengers,State,480,21-Aug-2019,"Department of Tourism and Civil Aviation, Himachal Pradesh",Jagson International Limited,Not Available,16-Mar-2006,Not Available,10-Jun-2006,31-Dec-2015,30-Aug-2016,11-Apr-2017,11-Apr-2017,15-Mar-2046,Not Applicable,Not Available,,0.00,15.00,Not Available,40.00,Not Available
Madivala Commercial Plaza.,Social and Commercial Infrastructure,Tourism,Karnataka,Operation and Maintenance Stage,Not Available,"Development of Madivala Commercial Complex of 3,00,000 sq.ft, Bangalore",6.88 Acres,State,360,21-Aug-2019,Bruhat Bangalore Mahanagar Palike,Not Available,Not Available,30-Nov-2005,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Available,Not Available,0.00,20.00,Not Available,30.00,"Data Captured from Infrastructure development govt of Karnataka website, 16-11-2018"
Solid Waste Management (Rajkot),Water Sanitation,Solid waste management,Gujarat,Operation and Maintenance Stage,Not Available,Strengthening of Solid Waste Management of Rajkot (Phase I),Not Available,State,Not Available,21-Aug-2019,Rajkot Municipal Corporation,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Available,,0.00,8.67,Not Available,Not Available,Not Available
Kantaphod - Nachabhor,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,Development of road from Kantaphod to Nachabor of 39.22 Km on Hybrid Annuity Mode (HAM).,39.22 KM (Kilometer),State,180,30-Aug-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),"M/s GVR Infra Projects Private Limited, Chennai",Not Available,06-Jan-2012,07-Jul-2012,07-Jul-2012,06-Jul-2014,31-Mar-2014,06-Jul-2014,31-Mar-2014,Not Available,Not Applicable,Not Available,Not Available,0.00,196.47,Not Available,196.47,The data has been checked and corrected for logically accuracy.
100 MLD Sea Water Desalination Plant-Reverse Osmosis,Water Sanitation,Water treatment plants,Tamil Nadu,Operation and Maintenance Stage,Design-Build-Own-Operate-Transfer (DBOOT),"237 MLD of water is drawn in to generate 100 MLD of desalinated water.  A pipeline for a length of 23,257 meter will be laid by CMWSSB from the plant site to Madhavaram booster station and bridges carrying the pipes will be constructed across Kosasthalaiyar River and Buckingham Canal. An underground tank UGT with a capacity of 2.5 million liters ML will be constructed at the Manali booster station.",237.0 MLD (Millons Liter per day),State,300,13-Sep-2019,Chennai Metropolitan Water Supply and Sewerage Board (CMWSSB),Chennai Water Desalination Limited &  IVRCL Infrastructure Projects Limited,Tariff or User charge,04-Aug-2005,25-Jan-2007,16-May-2007,Not Available,02-Oct-2009,Not Available,02-Oct-2009,30-Aug-2030,Not Applicable,Not Available,,0.00,500.00,550.00,Not Available,Not Available
Brackish Water Desalination Plant,Water Sanitation,Water treatment plants,Rajasthan,Operation and Maintenance Stage,Build-Own-Operate-Transfer (BOOT),"Technology for water Treatment project.  A 20 MLD brackish water desalination plant is set up at Kasnau & Matasukh Mine Nagaur, for its effective utilization in the nearby 120 villages for drinking water purpose",20.0 MLD (Millons Liter per day),State,180,13-Sep-2019,Rajasthan State Mines and Minerals Limited,Doshion Ltd.,Not Available,Not Available,Not Available,22-May-2010,Not Available,30-Sep-2010,Not Available,30-Sep-2010,Not Available,Not Applicable,Not Available,,0.00,300.00,Not Available,Not Available,Not Available
"Bulk Water Supply Project for IIT Bhubaneshwar, NISAR, INFO City and adjoining areas, Bhubaneshwar",Water Sanitation,Water supply pipeline,Odisha,Operation and Maintenance Stage,Design-Build-Finance-Operate-Transfer (DBFOT),"The project involves development of bulk water supply system for IIT Bhubaneswar, National Institute of Science, Education and Research (NISER), INFOCITY-II and adjoining areas.",70.0 MLD (Millons Liter per day),State,300,13-Sep-2019,"Public Health Engineering Organisation, Odisha","Megha Engineering and Infrastructures Ltd.,(MEIL)",Minimum grant,27-Oct-2014,Not Available,Not Available,10-Sep-2017,15-Dec-2017,10-Sep-2017,15-Dec-2017,26-Oct-2039,Not Applicable,Not Available,Construction Grant,50.00,187.71,Not Available,Not Available,This is a VGF Final Approved Project. Source: Concession Agreement
Cold Storage Project (Sikar),Social and Commercial Infrastructure,Cold Chain,Rajasthan,Operation and Maintenance Stage,Lease,Construction of cold storage 2000 MT capacity at Sikar,2000.0 MT (Metric Tonne ),State,85,13-Sep-2019,Rajasthan State Agriculture Marketing Board,Not Available,Lease Rent,01-Apr-2010,Not Available,Not Available,15-Feb-2012,Not Available,Not Available,Not Available,30-May-2017,Not Applicable,Not Available,Not Available,2.30,2.29,17.30,17.30,Not Available
Construction of multi chamber cold storage having capacity 4000 MT at Bhawani mandi,Social and Commercial Infrastructure,Cold Chain,Rajasthan,Operation and Maintenance Stage,Lease,Construction of multi chamber cold storage having capacity 4000 MT at Bhawani mandi,4000.0 MT (Metric Tonne ),State,60,13-Sep-2019,Rajasthan State Agriculture Marketing Board,M/s Shrishtri Cold Storage Pvt. Ltd,Lease Rent,13-Feb-2014,Not Available,Not Available,22-May-2015,22-May-2015,22-May-2015,22-May-2015,22-May-2020,Not Applicable,Not Available,Construction Grant,2.77,7.08,6.78,7.37,Data is logically checked and corrected.
"Door to Dump waste disposal Central zone, Ahmedabad",Water Sanitation,Solid waste management,Gujarat,Operation and Maintenance Stage,Service Contract,Development of door to door solid waste collectiom system and disposal system including a landfill site in Central Zone Ahmedabad.,Not Available,State,Not Available,13-Sep-2019,Ahmedabad Municipal Corporation,Swachta Corporation,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,30-Jun-2010,Not Available,Not Applicable,Not Available,Not Available,0.00,Not Available,Not Available,30.00,"Data Captured from GIDB Website, 19-11-2018"
"Door to Dump waste disposal North zone, Ahmedabad",Water Sanitation,Solid waste management,Gujarat,Operation and Maintenance Stage,Service Contract,Development of door to door solid waste collectiom system and disposal system including a landfill site in North Zone Ahmedabad.,Not Available,State,Not Available,13-Sep-2019,Ahmedabad Municipal Corporation,Swachta Corporation,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,30-Jun-2010,Not Available,Not Applicable,Not Available,Not Available,0.00,Not Available,Not Available,34.00,"Data Captured from GIDB Website, 19-11-2018"
High-Tech Amusement Park (Surat) Project,Social and Commercial Infrastructure,Tourism,Gujarat,Operation and Maintenance Stage,Design-Build-Finance-Operate-Transfer (DBFOT),"The project involves development of high-tech amusement park 'Amaazia' at TP scheme No 53 (Magob-Dumbhal) in Surat district. The project comprises Theme Park, Water Park, Bird Park, Snow Park, 7D Theater, 3 Screen Multiplex, 5-Star Hotel and Retail Mall.",15.0 Acres,State,540,13-Sep-2019,Surat Municipal Corporation,Rajgreen Amusement Park Private Limited,Highest premium,31-Jul-2012,Not Available,31-Aug-2012,31-Jan-2015,31-Jan-2015,01-Dec-2016,01-Dec-2016,30-Aug-2057,Not Applicable,Not Available,,0.00,245.51,Not Available,228.77,"Phase I is completed and is functional, phase II is under construction, information provided is for phase I. Data is logically checked and corrected."
Implementation of 8.0 MLD water supply and sewerage scheme at Salt Lake,Water Sanitation,"Sewage collection, treatment and disposal system",West Bengal,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),"The project involved implementation of water supply and sewerage systems at Salt Lake [Population to be served 2.26 Lakh, Volume of sewage - 8 MLD, Water Distribution Mains -16.90 KM. (13 cubic meteres per day)]",8.0 MLD (Millons Liter per day),State,360,13-Sep-2019,Kolkata Metropolitan Development Authority,Nabadiganta Water Management  Limited,Tariff or User charge,30-Nov-2007,01-Dec-2007,01-Mar-2008,04-Jan-2009,04-Jan-2011,04-Jan-2009,04-Jan-2011,01-Mar-2038,Not Applicable,Not Available,,0.00,67.00,Not Available,72.00,"(Source: Joint Secretary, Kolkata Metropolitan Devp. Authority, November 2017)"
"Setting up of 50,000 MT modern food silo complex at Bhopal",Social and Commercial Infrastructure,Post-harvest storage infrastructure for agriculture and horticulture produce including cold storage,Madhya Pradesh,Operation and Maintenance Stage,Design-Build-Finance-Operate-Transfer (DBFOT),The project involved development of steel silos at Mungalia Kot in Bhopal district. It includes setting up of  4 steel bins with capacity of 12500 MT each.,50000.0 MT (Metric Tonne ),State,360,13-Sep-2019,Madhya Pradesh Warehousing and Logistics Corporation (MPWLC),"Raghuvesh Warehousing Private Limited, Bhopal",Highest premium,28-May-2014,23-Jul-2014,23-Jul-2014,22-Jul-2015,21-Mar-2015,01-Apr-2016,21-Mar-2015,22-Jul-2044,Not Applicable,Not Available,,0.00,30.63,Not Available,30.63,This is a VGF In Principle Approved Project.The data has been checked and corrected for logical accuracy.
"Setting up of 50,000 MT modern food silo complex at Dewas District Village Durgapura",Social and Commercial Infrastructure,Post-harvest storage infrastructure for agriculture and horticulture produce including cold storage,Madhya Pradesh,Operation and Maintenance Stage,Design-Build-Finance-Operate-Transfer (DBFOT),The project involved development of steel silos at Durgapur in Dewas district. It includes setting up of  4 steel bins with capacity of 12500 MT each.,50000.0 MT (Metric Tonne ),State,360,13-Sep-2019,Madhya Pradesh Warehousing and Logistics Corporation (MPWLC),"Adani Agri Logistics (Dewas) Limited, Bhopal",Highest premium,06-Jun-2014,05-Aug-2014,05-Aug-2014,04-Aug-2015,30-Oct-2015,01-Apr-2016,16-Mar-2016,04-Aug-2025,Not Applicable,Not Available,Project Development Grant,2.11,29.43,Not Available,29.43,This is a VGF Final Approved Project. The data has been checked and corrected for logical accuracy.
